"","int","age","period","cohort","y","c.cohort","c.period","age2"
"33",1,21,3,-18,-24.774783519983,12.8174,11.8794,3
"34",1,30,22,-8,-25.3681606860508,2.8174,-7.1206,12
"35",1,19,10,-9,-18.2345585808112,3.8174,4.8794,1
"36",1,15,9,-6,-13.6884045435229,0.8174,5.8794,-3
"37",1,16,13,-3,-12.5671821707771,-2.1826,1.8794,-2
"38",1,17,10,-7,-15.2901334937948,1.8174,4.8794,-1
"39",1,18,3,-15,-21.0198112275566,9.8174,11.8794,0
"40",1,14,9,-5,-12.3709515603549,-0.1826,5.8794,-4
"41",1,24,9,-15,-25.3611406611176,9.8174,5.8794,6
"42",1,16,7,-9,-16.1797888499514,3.8174,7.8794,-2
"43",1,25,20,-5,-20.015189235471,-0.1826,-5.1206,7
"44",1,27,15,-12,-25.5681773032726,6.8174,-0.1206,9
"45",1,22,23,1,-14.4240246714483,-6.1826,-8.1206,4
"46",1,15,11,-4,-12.5714461521535,-1.1826,3.8794,-3
"47",1,20,9,-11,-20.0522891874451,5.8174,5.8794,2
"48",1,32,23,-9,-27.2057612434066,3.8174,-8.1206,14
"49",1,24,25,1,-15.8354428030101,-6.1826,-10.1206,6
"50",1,22,6,-16,-24.3613626001984,10.8174,8.8794,4
"51",1,25,22,-3,-18.7860333199786,-2.1826,-7.1206,7
"52",1,25,14,-11,-23.3868112975252,5.8174,0.8794,7
"53",1,25,20,-5,-20.0668891932931,-0.1826,-5.1206,7
"54",1,13,11,-2,-9.66587978339831,-3.1826,3.8794,-5
"55",1,16,26,10,-4.7788254413511,-15.1826,-11.1206,-2
"56",1,23,24,1,-15.1250837608369,-6.1826,-9.1206,5
"57",1,17,5,-12,-18.7557607445648,6.8174,9.8794,-1
"58",1,25,14,-11,-23.5049429899594,5.8174,0.8794,7
"59",1,21,16,-5,-17.295921061652,-0.1826,-1.1206,3
"60",1,32,1,-31,-40.4072064591722,25.8174,13.8794,14
"61",1,23,10,-13,-23.7205715561358,7.8174,4.8794,5
"62",1,18,4,-14,-20.3105952675146,8.8174,10.8794,0
"63",1,11,15,4,-4.89377527238514,-9.1826,-0.1206,-7
"64",1,21,23,2,-13.0834767685387,-7.1826,-8.1206,3
"65",1,20,8,-12,-21.0913850679991,6.8174,6.8794,2
"66",1,20,21,1,-12.9499334237012,-6.1826,-6.1206,2
"67",1,22,25,3,-13.04957184044,-8.1826,-10.1206,4
"68",1,21,9,-12,-21.4245490012994,6.8174,5.8794,3
"69",1,18,10,-8,-16.8290174934998,2.8174,4.8794,0
"70",1,18,26,8,-7.30988065026751,-13.1826,-11.1206,0
"71",1,20,0,-20,-25.3433382697732,14.8174,14.8794,2
"72",1,18,14,-4,-14.5442766658375,-1.1826,0.8794,0
"73",1,24,25,1,-15.5829591133091,-6.1826,-10.1206,6
"74",1,23,7,-16,-25.1260495830411,10.8174,7.8794,5
"75",1,19,15,-4,-15.1631378925709,-1.1826,-0.1206,1
"76",1,15,19,4,-7.67231102735532,-9.1826,-4.1206,-3
"77",1,19,27,8,-8.14322977936818,-13.1826,-12.1206,1
"78",1,10,3,-7,-10.6922261149155,1.8174,11.8794,-8
"79",1,20,6,-14,-21.854398123849,8.8174,8.8794,2
"80",1,28,22,-6,-22.7096254828049,0.8174,-7.1206,10
"81",1,24,6,-18,-26.9264993473709,12.8174,8.8794,6
"82",1,22,22,0,-14.9358762861478,-5.1826,-7.1206,4
"83",1,24,1,-23,-29.8913639178062,17.8174,13.8794,6
"84",1,32,29,-3,-23.7746973231868,-2.1826,-14.1206,14
"85",1,13,7,-6,-12.2147020291662,0.8174,7.8794,-5
"86",1,19,24,5,-9.83456553648912,-10.1826,-9.1206,1
"87",1,14,3,-11,-15.8239282209919,5.8174,11.8794,-4
"88",1,19,18,-1,-13.4308544359708,-4.1826,-3.1206,1
"89",1,18,27,9,-6.5992697767288,-14.1826,-12.1206,0
"90",1,16,15,-1,-11.4499592821044,-4.1826,-0.1206,-2
"91",1,22,16,-6,-18.4027177020094,0.8174,-1.1206,4
"92",1,21,3,-18,-24.9394670897897,12.8174,11.8794,3
"93",1,13,1,-12,-16.0087633857382,6.8174,13.8794,-5
"94",1,15,25,10,-4.15321220880277,-15.1826,-10.1206,-3
"95",1,20,24,4,-11.0262030950061,-9.1826,-9.1206,2
"96",1,15,11,-4,-12.3838950744395,-1.1826,3.8794,-3
"97",1,17,13,-4,-13.8422003234833,-1.1826,1.8794,-1
"98",1,20,19,-1,-13.8929844306124,-4.1826,-4.1206,2
"99",1,18,6,-12,-19.3127025675286,6.8174,8.8794,0
"100",1,26,28,2,-16.7154175520372,-7.1826,-13.1206,8
"101",1,16,30,14,-2.36608505603268,-19.1826,-15.1206,-2
"102",1,17,28,11,-4.9137702486619,-16.1826,-13.1206,-1
"103",1,21,18,-3,-15.9188652854184,-2.1826,-3.1206,3
"104",1,22,9,-13,-22.7592790715944,7.8174,5.8794,4
"105",1,20,2,-18,-24.2313760950334,12.8174,12.8794,2
"106",1,16,27,11,-4.17238020486776,-16.1826,-12.1206,-2
"107",1,23,14,-9,-21.1284987923931,3.8174,0.8794,5
"108",1,21,18,-3,-16.0334154111223,-2.1826,-3.1206,3
"109",1,13,11,-2,-9.70876227178316,-3.1826,3.8794,-5
"110",1,15,29,14,-1.5543665877694,-19.1826,-14.1206,-3
"111",1,16,8,-8,-15.3469680379803,2.8174,6.8794,-2
"112",1,27,17,-10,-24.2434898042186,4.8174,-2.1206,9
"113",1,22,1,-21,-27.5319380294491,15.8174,13.8794,4
"114",1,20,6,-14,-22.1133759161562,8.8174,8.8794,2
"115",1,13,21,8,-3.59075351692873,-13.1826,-6.1206,-5
"116",1,21,28,7,-10.189286245216,-12.1826,-13.1206,3
"117",1,18,3,-15,-21.3000124039831,9.8174,11.8794,0
"118",1,20,13,-7,-17.5476025446763,1.8174,1.8794,2
"119",1,20,13,-7,-17.7149731487502,1.8174,1.8794,2
"120",1,24,4,-20,-28.560229709885,14.8174,10.8794,6
"121",1,23,1,-22,-28.7609669349562,16.8174,13.8794,5
"122",1,14,22,8,-4.27591922015402,-13.1826,-7.1206,-4
"123",1,17,23,6,-7.6149085717294,-11.1826,-8.1206,-1
"124",1,22,13,-9,-20.6346592790979,3.8174,1.8794,4
"125",1,22,28,6,-11.140535284464,-11.1826,-13.1206,4
"126",1,25,24,-1,-17.6153145371562,-4.1826,-9.1206,7
"127",1,18,24,6,-8.44506775727575,-11.1826,-9.1206,0
"128",1,23,20,-3,-17.492079619465,-2.1826,-5.1206,5
"129",1,25,9,-16,-26.6852740771796,10.8174,5.8794,7
"130",1,15,29,14,-1.70426267726313,-19.1826,-14.1206,-3
"131",1,23,17,-6,-19.3600204203814,0.8174,-2.1206,5
"132",1,22,21,-1,-15.5589051684787,-4.1826,-6.1206,4
"133",1,22,5,-17,-25.1485584638387,11.8174,9.8794,4
"134",1,14,5,-9,-14.6173155748901,3.8174,9.8794,-4
"135",1,16,23,7,-6.51795561767972,-12.1826,-8.1206,-2
"136",1,23,0,-23,-29.0802634851326,17.8174,14.8794,5
"137",1,17,9,-8,-15.9303051218938,2.8174,5.8794,-1
"138",1,18,25,7,-7.96194528622866,-12.1826,-10.1206,0
"139",1,20,1,-19,-25.1597985446524,13.8174,13.8794,2
"140",1,31,4,-27,-37.2924699690302,21.8174,10.8794,13
"141",1,22,9,-13,-22.5666421112987,7.8174,5.8794,4
"142",1,20,4,-16,-23.0147098788997,10.8174,10.8794,2
"143",1,19,11,-8,-17.5502080243819,2.8174,3.8794,1
"144",1,16,28,12,-3.41635692432394,-17.1826,-13.1206,-2
"145",1,13,0,-13,-16.4080827385247,7.8174,14.8794,-5
"146",1,31,5,-26,-36.8994373150948,20.8174,9.8794,13
"147",1,17,21,4,-8.98736924851307,-9.1826,-6.1206,-1
"148",1,18,9,-9,-17.321355453254,3.8174,5.8794,0
"149",1,16,23,7,-6.47986371642328,-12.1826,-8.1206,-2
"150",1,29,27,-2,-20.7274791797656,-3.1826,-12.1206,11
"151",1,14,1,-13,-17.1491053133015,7.8174,13.8794,-4
"152",1,25,27,2,-15.5378041173248,-7.1826,-12.1206,7
"153",1,22,14,-8,-19.8539826182475,2.8174,0.8794,4
"154",1,21,26,5,-11.1264441844975,-10.1826,-11.1206,3
"155",1,15,20,5,-7.1411020872548,-10.1826,-5.1206,-3
"156",1,17,29,12,-4.41232531272543,-17.1826,-14.1206,-1
"157",1,14,28,14,-0.95228854001471,-19.1826,-13.1206,-4
"158",1,26,9,-17,-27.881482164999,11.8174,5.8794,8
"159",1,16,28,12,-3.57865507205195,-17.1826,-13.1206,-2
"160",1,23,3,-20,-27.5616692926534,14.8174,11.8794,5
"161",1,17,21,4,-8.93332689955611,-9.1826,-6.1206,-1
"162",1,15,8,-7,-14.3319784411975,1.8174,6.8794,-3
"163",1,15,9,-6,-13.7880790627986,0.8174,5.8794,-3
"164",1,18,21,3,-10.2593106066214,-8.1826,-6.1206,0
"165",1,28,7,-21,-31.6623871416513,15.8174,7.8794,10
"166",1,18,10,-8,-16.5630761621353,2.8174,4.8794,0
"167",1,19,1,-18,-23.5999113651543,12.8174,13.8794,1
"168",1,21,27,6,-10.3856683792131,-11.1826,-12.1206,3
"169",1,17,28,11,-4.57991552181173,-16.1826,-13.1206,-1
"170",1,25,19,-6,-20.4779008319859,0.8174,-4.1206,7
"171",1,15,21,6,-6.40438600345213,-11.1826,-6.1206,-3
"172",1,19,1,-18,-23.9849027899249,12.8174,13.8794,1
"173",1,21,25,4,-11.7204320870361,-9.1826,-10.1206,3
"174",1,27,3,-24,-32.7206051610563,18.8174,11.8794,9
"175",1,16,25,9,-5.33068322191467,-14.1826,-10.1206,-2
"176",1,19,6,-13,-20.5605339510749,7.8174,8.8794,1
"177",1,16,2,-14,-18.9320538890045,8.8174,12.8794,-2
"178",1,15,4,-11,-16.8069878430087,5.8174,10.8794,-3
"179",1,21,29,8,-9.39406339647032,-13.1826,-14.1206,3
"180",1,27,14,-13,-26.1437969079535,7.8174,0.8794,9
"181",1,29,15,-14,-28.2006536676453,8.8174,-0.1206,11
"182",1,28,6,-22,-32.2529967273469,16.8174,8.8794,10
"183",1,17,17,0,-11.4725490417187,-5.1826,-2.1206,-1
"184",1,25,20,-5,-20.0344988220523,-0.1826,-5.1206,7
"185",1,26,2,-24,-32.0375823743191,18.8174,12.8794,8
"186",1,21,26,5,-11.2782615586919,-10.1826,-11.1206,3
"187",1,21,27,6,-10.5788872744495,-11.1826,-12.1206,3
"188",1,19,3,-16,-22.2269440294581,10.8174,11.8794,1
"189",1,19,9,-10,-18.9378341802816,4.8174,5.8794,1
"190",1,16,12,-4,-13.1959815936701,-1.1826,2.8794,-2
"191",1,21,20,-1,-14.6605414769459,-4.1826,-5.1206,3
"192",1,29,30,1,-19.3153048047088,-6.1826,-15.1206,11
"193",1,22,8,-14,-23.483605579336,8.8174,6.8794,4
"194",1,27,2,-25,-33.6250667590028,19.8174,12.8794,9
"195",1,22,4,-18,-25.7033772714056,12.8174,10.8794,4
"196",1,30,20,-10,-26.5421607934904,4.8174,-5.1206,12
"197",1,25,1,-24,-31.3927681877059,18.8174,13.8794,7
"198",1,32,25,-7,-26.18902455331,1.8174,-10.1206,14
"199",1,23,6,-17,-25.553025633629,11.8174,8.8794,5
"200",1,18,7,-11,-18.723820897697,5.8174,7.8794,0
"201",1,19,16,-3,-14.620260630789,-2.1826,-1.1206,1
"202",1,17,21,4,-8.98747588861862,-9.1826,-6.1206,-1
"203",1,16,23,7,-6.27484262405635,-12.1826,-8.1206,-2
"204",1,21,22,1,-13.86863063484,-6.1826,-7.1206,3
"205",1,23,13,-10,-21.68925201149,4.8174,1.8794,5
"206",1,16,3,-13,-18.643337981083,7.8174,11.8794,-2
"207",1,19,7,-12,-20.1664662619185,6.8174,7.8794,1
"208",1,23,12,-11,-22.1615735441219,5.8174,2.8794,5
"209",1,14,12,-2,-10.411658349571,-3.1826,2.8794,-4
"210",1,23,1,-22,-28.6531827465863,16.8174,13.8794,5
"211",1,29,17,-12,-26.9169396907511,6.8174,-2.1206,11
"212",1,17,23,6,-7.75236779451094,-11.1826,-8.1206,-1
"213",1,12,9,-3,-9.91574984013355,-2.1826,5.8794,-6
"214",1,16,30,14,-2.26419489940319,-19.1826,-15.1206,-2
"215",1,20,0,-20,-25.7605830959415,14.8174,14.8794,2
"216",1,19,17,-2,-13.9917500004528,-3.1826,-2.1206,1
"217",1,17,20,3,-9.53968841408985,-8.1826,-5.1206,-1
"218",1,16,12,-4,-13.312137567116,-1.1826,2.8794,-2
"219",1,22,17,-5,-17.8915876705431,-0.1826,-2.1206,4
"220",1,22,1,-21,-27.5005546392096,15.8174,13.8794,4
"221",1,19,12,-7,-16.8534565329533,1.8174,2.8794,1
"222",1,20,20,0,-13.5082252493011,-5.1826,-5.1206,2
"223",1,18,23,5,-9.05601720206822,-10.1826,-8.1206,0
"224",1,27,23,-4,-20.5248115253415,-1.1826,-8.1206,9
"225",1,16,20,4,-8.18104682617491,-9.1826,-5.1206,-2
"226",1,20,1,-19,-24.9235576258527,13.8174,13.8794,2
"227",1,27,25,-2,-19.7180969772698,-3.1826,-10.1206,9
"228",1,27,21,-6,-21.5978931159068,0.8174,-6.1206,9
"229",1,20,2,-18,-24.22768345345,12.8174,12.8794,2
"230",1,16,19,3,-8.94040440556544,-8.1826,-4.1206,-2
"231",1,19,7,-12,-20.0833111904727,6.8174,7.8794,1
"232",1,28,29,1,-18.682095450596,-6.1826,-14.1206,10
"233",1,21,4,-17,-24.5817384581324,11.8174,10.8794,3
"234",1,23,23,0,-15.7063992730062,-5.1826,-8.1206,5
"235",1,20,16,-4,-15.5826680688423,-1.1826,-1.1206,2
"236",1,11,13,2,-5.44194226065162,-7.1826,1.8794,-7
"237",1,25,30,5,-13.9435447052554,-10.1826,-15.1206,7
"238",1,35,3,-32,-43.2789353292955,26.8174,11.8794,17
"239",1,20,25,5,-10.5210495058478,-10.1826,-10.1206,2
"240",1,23,16,-7,-20.0032721321193,1.8174,-1.1206,5
"241",1,21,8,-13,-21.9252060659138,7.8174,6.8794,3
"242",1,15,29,14,-1.47297002034565,-19.1826,-14.1206,-3
"243",1,21,26,5,-11.1180487796136,-10.1826,-11.1206,3
"244",1,18,30,12,-4.73028618576448,-17.1826,-15.1206,0
"245",1,15,17,2,-8.47253497765178,-7.1826,-2.1206,-3
"246",1,17,29,12,-4.07963062146031,-17.1826,-14.1206,-1
"247",1,19,24,5,-9.87709362584648,-10.1826,-9.1206,1
"248",1,21,24,3,-12.2932572168138,-8.1826,-9.1206,3
"249",1,23,14,-9,-21.1528939729743,3.8174,0.8794,5
"250",1,18,14,-4,-14.3196700013151,-1.1826,0.8794,0
"251",1,20,1,-19,-24.8948764399546,13.8174,13.8794,2
"252",1,27,6,-21,-30.8386028689937,15.8174,8.8794,9
"253",1,23,14,-9,-20.9915901304394,3.8174,0.8794,5
"254",1,24,29,5,-13.2100819312491,-10.1826,-14.1206,6
"255",1,21,23,2,-13.0244331322121,-7.1826,-8.1206,3
"256",1,10,17,7,-2.32530428541904,-12.1826,-2.1206,-8
"257",1,25,9,-16,-26.7724243341047,10.8174,5.8794,7
"258",1,12,3,-9,-13.2714648750689,3.8174,11.8794,-6
"259",1,12,28,16,1.5695216830514,-21.1826,-13.1206,-6
"260",1,23,2,-21,-28.2242749398353,15.8174,12.8794,5
"261",1,22,29,7,-10.7746027465352,-12.1826,-14.1206,4
"262",1,20,22,2,-12.2950599157228,-7.1826,-7.1206,2
"263",1,29,12,-17,-30.1972559391293,11.8174,2.8794,11
"264",1,23,20,-3,-17.3016882532884,-2.1826,-5.1206,5
"265",1,14,30,16,0.483628152190445,-21.1826,-15.1206,-4
"266",1,21,26,5,-11.503868757414,-10.1826,-11.1206,3
"267",1,29,21,-8,-24.6437227359336,2.8174,-6.1206,11
"268",1,21,19,-2,-15.1720740115221,-3.1826,-4.1206,3
"269",1,21,19,-2,-15.3185569385233,-3.1826,-4.1206,3
"270",1,25,27,2,-16.0524554839005,-7.1826,-12.1206,7
"271",1,17,28,11,-4.91941011871835,-16.1826,-13.1206,-1
"272",1,14,28,14,-1.07049459374777,-19.1826,-13.1206,-4
"273",1,25,12,-13,-24.8699958189137,7.8174,2.8794,7
"274",1,24,23,-1,-16.6338463238465,-4.1826,-8.1206,6
"275",1,17,16,-1,-11.7715921985239,-4.1826,-1.1206,-1
"276",1,19,0,-19,-24.0811998900623,13.8174,14.8794,1
"277",1,20,25,5,-10.5107587458009,-10.1826,-10.1206,2
"278",1,22,15,-7,-19.2027484528654,1.8174,-0.1206,4
"279",1,18,14,-4,-14.4073141971485,-1.1826,0.8794,0
"280",1,16,14,-2,-11.7949413781426,-3.1826,0.8794,-2
"281",1,19,29,10,-6.98703868548486,-15.1826,-14.1206,1
"282",1,10,19,9,-1.2761062531896,-14.1826,-4.1206,-8
"283",1,22,0,-22,-28.0335556137086,16.8174,14.8794,4
"284",1,26,0,-26,-33.3899094439229,20.8174,14.8794,8
"285",1,29,5,-24,-33.8532112796956,18.8174,9.8794,11
"286",1,23,24,1,-15.2014692109251,-6.1826,-9.1206,5
"287",1,21,28,7,-10.0692084286535,-12.1826,-13.1206,3
"288",1,24,1,-23,-29.9624632296457,17.8174,13.8794,6
"289",1,14,8,-6,-12.9167342380829,0.8174,6.8794,-4
"290",1,18,0,-18,-23.1696450502427,12.8174,14.8794,0
"291",1,26,10,-16,-27.1666948831819,10.8174,4.8794,8
"292",1,20,26,6,-9.88704062487984,-11.1826,-11.1206,2
"293",1,18,15,-3,-13.8408992135781,-2.1826,-0.1206,0
"294",1,16,6,-10,-16.430838409407,4.8174,8.8794,-2
"295",1,14,19,5,-6.27002367232517,-10.1826,-4.1206,-4
"296",1,22,0,-22,-27.9607752298628,16.8174,14.8794,4
"297",1,15,14,-1,-10.3257927832812,-4.1826,0.8794,-3
"298",1,18,11,-7,-15.9916451445204,1.8174,3.8794,0
"299",1,18,22,4,-9.40980007293842,-9.1826,-7.1206,0
"300",1,12,0,-12,-15.021722536386,6.8174,14.8794,-6
"301",1,22,13,-9,-20.3571746676704,3.8174,1.8794,4
"302",1,27,12,-15,-27.5424218456214,9.8174,2.8794,9
"303",1,13,24,11,-1.9795757551799,-16.1826,-9.1206,-5
"304",1,27,19,-8,-23.2832563075166,2.8174,-4.1206,9
"305",1,18,16,-2,-13.3027001877712,-3.1826,-1.1206,0
"306",1,23,1,-22,-28.8847351764123,16.8174,13.8794,5
"307",1,32,24,-8,-26.7034621794075,2.8174,-9.1206,14
"308",1,27,7,-20,-30.3849350151775,14.8174,7.8794,9
"309",1,16,21,5,-7.56690421549001,-10.1826,-6.1206,-2
"310",1,27,0,-27,-34.3362711423577,21.8174,14.8794,9
"311",1,19,3,-16,-22.4124990009388,10.8174,11.8794,1
"312",1,19,22,3,-10.994114325344,-8.1826,-7.1206,1
"313",1,27,24,-3,-20.1383876506147,-2.1826,-9.1206,9
"314",1,21,30,9,-8.65720921589636,-14.1826,-15.1206,3
"315",1,21,19,-2,-15.145870728504,-3.1826,-4.1206,3
"316",1,16,17,1,-9.91751431804784,-6.1826,-2.1206,-2
"317",1,18,19,1,-11.4054834544567,-6.1826,-4.1206,0
"318",1,28,13,-15,-27.9011538575845,9.8174,1.8794,10
"319",1,12,2,-10,-13.9642271488387,4.8174,12.8794,-6
"320",1,28,24,-4,-21.556846159592,-1.1826,-9.1206,10
"321",1,25,28,3,-15.1035590103219,-8.1826,-13.1206,7
"322",1,24,29,5,-13.3385251850268,-10.1826,-14.1206,6
"323",1,27,2,-25,-33.2544077811808,19.8174,12.8794,9
"324",1,14,12,-2,-10.6735688826075,-3.1826,2.8794,-4
"325",1,22,12,-10,-20.9723766533001,4.8174,2.8794,4
"326",1,21,19,-2,-15.456685156555,-3.1826,-4.1206,3
"327",1,19,18,-1,-13.3622880247028,-4.1826,-3.1206,1
"328",1,21,15,-6,-17.9825170943186,0.8174,-0.1206,3
"329",1,14,14,0,-9.25578118607509,-5.1826,0.8794,-4
"330",1,22,17,-5,-17.8281561209264,-0.1826,-2.1206,4
"331",1,21,4,-17,-24.4499781125915,11.8174,10.8794,3
"332",1,19,27,8,-8.09914656534581,-13.1826,-12.1206,1
"333",1,24,24,0,-16.4731897937418,-5.1826,-9.1206,6
"334",1,17,19,2,-10.0747485462694,-7.1826,-4.1206,-1
"335",1,15,16,1,-9.51370442046199,-6.1826,-1.1206,-3
"336",1,29,15,-14,-27.9658536806887,8.8174,-0.1206,11
"337",1,15,0,-15,-18.7092294517372,9.8174,14.8794,-3
"338",1,19,14,-5,-15.7645905513181,-0.1826,0.8794,1
"339",1,25,3,-22,-30.0121604925201,16.8174,11.8794,7
"340",1,25,13,-12,-24.2787734518049,6.8174,1.8794,7
"341",1,23,27,4,-12.7888479249476,-9.1826,-12.1206,5
"342",1,9,16,7,-1.3534744586615,-12.1826,-1.1206,-9
"343",1,22,6,-16,-24.6422508311928,10.8174,8.8794,4
"344",1,25,30,5,-13.9472539634918,-10.1826,-15.1206,7
"345",1,23,21,-2,-16.7329057965578,-3.1826,-6.1206,5
"346",1,23,24,1,-14.9630472286731,-6.1826,-9.1206,5
"347",1,17,2,-15,-20.2761566526161,9.8174,12.8794,-1
"348",1,17,29,12,-4.15096683718377,-17.1826,-14.1206,-1
"349",1,14,19,5,-6.15360775581249,-10.1826,-4.1206,-4
"350",1,15,7,-8,-14.919361706397,2.8174,7.8794,-3
"351",1,13,4,-9,-14.2261244329423,3.8174,10.8794,-5
"352",1,15,17,2,-8.61978069452332,-7.1826,-2.1206,-3
"353",1,14,2,-12,-16.4104676803574,6.8174,12.8794,-4
"354",1,20,9,-11,-20.2412622122969,5.8174,5.8794,2
"355",1,15,10,-5,-13.1131215995551,-0.1826,4.8794,-3
"356",1,27,22,-5,-21.4411575225318,-0.1826,-7.1206,9
"357",1,25,14,-11,-23.2439775447034,5.8174,0.8794,7
"358",1,25,30,5,-14.1203298033894,-10.1826,-15.1206,7
"359",1,14,28,14,-0.931351572442651,-19.1826,-13.1206,-4
"360",1,23,7,-16,-25.140585216399,10.8174,7.8794,5
"361",1,19,10,-9,-18.1754154663629,3.8174,4.8794,1
"362",1,20,9,-11,-20.217132965497,5.8174,5.8794,2
"363",1,22,25,3,-13.2421222281061,-8.1826,-10.1206,4
"364",1,17,19,2,-10.3472925002162,-7.1826,-4.1206,-1
"365",1,24,4,-20,-28.35142842278,14.8174,10.8794,6
"366",1,19,7,-12,-19.937195198318,6.8174,7.8794,1
"367",1,18,17,-1,-12.3891645120607,-4.1826,-2.1206,0
"368",1,23,27,4,-13.3474565217514,-9.1826,-12.1206,5
"369",1,13,24,11,-1.80195790857,-16.1826,-9.1206,-5
"370",1,19,11,-8,-17.3838175467461,2.8174,3.8794,1
"371",1,18,30,12,-4.99892743759618,-17.1826,-15.1206,0
"372",1,20,19,-1,-14.0710340039316,-4.1826,-4.1206,2
"373",1,20,8,-12,-20.7455896004421,6.8174,6.8794,2
"374",1,13,25,12,-1.4619331013462,-17.1826,-10.1206,-5
"375",1,20,21,1,-12.727997127215,-6.1826,-6.1206,2
"376",1,22,19,-3,-16.5154987966135,-2.1826,-4.1206,4
"377",1,21,26,5,-11.272204646668,-10.1826,-11.1206,3
"378",1,16,27,11,-3.937350947067,-16.1826,-12.1206,-2
"379",1,23,17,-6,-19.1839930960163,0.8174,-2.1206,5
"380",1,16,11,-5,-13.4506012258068,-0.1826,3.8794,-2
"381",1,17,18,1,-10.8563444830665,-6.1826,-3.1206,-1
"382",1,25,7,-18,-27.8555575243155,12.8174,7.8794,7
"383",1,23,25,2,-14.5597887997248,-7.1826,-10.1206,5
"384",1,20,1,-19,-24.581611634045,13.8174,13.8794,2
"385",1,20,14,-6,-17.0719582297307,0.8174,0.8794,2
"386",1,32,0,-32,-40.9259241517938,26.8174,14.8794,14
"387",1,24,7,-17,-26.5074016806447,11.8174,7.8794,6
"388",1,15,15,0,-9.97005557774964,-5.1826,-0.1206,-3
"389",1,22,12,-10,-20.8352980711405,4.8174,2.8794,4
"390",1,21,28,7,-10.0341546462799,-12.1826,-13.1206,3
"391",1,28,23,-5,-21.94950608817,-0.1826,-8.1206,10
"392",1,17,10,-7,-15.5029083162249,1.8174,4.8794,-1
"393",1,25,18,-7,-21.2604484004492,1.8174,-3.1206,7
"394",1,16,6,-10,-16.5324922739396,4.8174,8.8794,-2
"395",1,29,1,-28,-36.7653939343502,22.8174,13.8794,11
"396",1,19,18,-1,-13.4072231299013,-4.1826,-3.1206,1
"397",1,29,27,-2,-21.0887053678436,-3.1826,-12.1206,11
"398",1,18,27,9,-6.98554333124415,-14.1826,-12.1206,0
"399",1,19,23,4,-10.779080259761,-9.1826,-8.1206,1
"400",1,26,24,-2,-18.9137620214196,-3.1826,-9.1206,8
"401",1,26,15,-11,-23.9741934893928,5.8174,-0.1206,8
"402",1,22,21,-1,-15.1413054013987,-4.1826,-6.1206,4
"403",1,15,9,-6,-13.9083734949231,0.8174,5.8794,-3
"404",1,23,4,-19,-27.2005181423448,13.8174,10.8794,5
"405",1,21,29,8,-9.51766364351299,-13.1826,-14.1206,3
"406",1,22,5,-17,-25.0677503761176,11.8174,9.8794,4
"407",1,14,9,-5,-12.5264400858834,-0.1826,5.8794,-4
"408",1,18,12,-6,-15.6059101212288,0.8174,2.8794,0
"409",1,17,17,0,-11.6020696895265,-5.1826,-2.1206,-1
"410",1,13,7,-6,-11.97464059166,0.8174,7.8794,-5
"411",1,21,6,-15,-23.2620304386249,9.8174,8.8794,3
