"","a","a2","p","p2","x.cor","x.cor2","y1","y2","y3","y4"
"25",5,25,2,4,-2.99772739270702,8.98636952098603,-0.678157225240378,0.479952737250041,1.17451298427931,-0.0314099341484506
"26",6,36,2,4,-3.59545539971441,12.9272995313355,0.543583451815705,-1.25156600794663,-0.645132911429132,1.95490286139238
"27",7,49,2,4,-5.3667359938845,28.8018552280555,-2.01997031591351,-1.65201904281084,-1.72979062001711,1.56610662447735
"28",8,64,2,4,-6.23931190790609,38.9290130841387,-1.53726285782267,-3.44470404395111,-0.840370347824767,2.08928952905069
"29",9,81,2,4,-7.26372970594093,52.7617692409687,-0.248706887827862,-1.0707028734387,-0.160026397683653,1.52797831327734
"30",10,100,2,4,-7.04112777113914,49.5774802895069,0.168707905762504,-1.84081382921718,-0.752220085693022,2.25446985598087
"31",11,121,2,4,-9.63546884758398,92.8422599127613,0.35664136788758,-3.15049660296686,-0.903101643026258,3.10780633798108
"32",12,144,2,4,-10.0696307341568,101.397463122276,-0.905219186719168,-4.1276744540527,-2.63792868975733,1.94729665115084
"33",13,169,2,4,-11.9703575419262,143.28945968155,-1.44370749445738,-1.94001864793908,-2.36850111013591,2.06286222770567
"34",14,196,2,4,-12.6041522361338,158.864653591637,-3.41369518012423,-5.73750540895516,-2.14506497842604,3.41597384075325
"35",15,225,2,4,-12.9335821624845,167.277547553738,-2.47231669873353,-3.65105209071951,-2.15436766895965,2.07845189156228
"36",16,256,2,4,-14.2917398666032,204.253828414654,-2.86167735100197,-5.50827679862376,-3.19030399480287,2.80819622838071
"37",17,289,2,4,-15.9965234510601,255.888762520314,-4.89389644242244,-7.53989589714995,-4.31561402454684,0.81132142073358
"38",18,324,2,4,-15.5632691723295,242.21534733038,-3.90350448139015,-6.45059195683963,-5.18866267213252,3.97765675320687
"39",19,361,2,4,-16.3291069120169,266.639732544077,-2.82331869267427,-6.29371745821014,-2.61601403681294,3.29061394802821
"40",20,400,2,4,-18.4128047316335,339.031378085266,-5.47414575391907,-6.26887048051168,-5.71489365504441,3.05464583981064
"41",1,1,3,9,1.51563442777842,2.29714771866723,1.28444481127316,-0.401225581371077,0.316254094787067,-0.119179410932359
"42",2,4,3,9,1.41061060875654,1.9898222895365,1.34095526874756,0.147753037791962,0.289697076182791,-0.859196102393571
"43",3,9,3,9,-0.988747957162559,0.977622522793134,1.25610904334375,1.43222397117924,0.112709167590989,2.62707465732074
"44",4,16,3,9,-0.230715437792242,0.0532296132356657,-0.554694747879088,0.0823430245805881,0.804532272211268,2.13490159587699
"45",5,25,3,9,-2.52465756377205,6.37389581431144,1.52384579655586,1.3287866387726,1.28486415328356,2.32564019604775
"46",6,36,3,9,-3.3276369953528,11.0731679728406,0.132205003027769,-1.91246692344817,0.7188500082804,1.47942025785224
"47",7,49,3,9,-4.20769818173721,17.7047239885947,0.0816635077294161,0.995124438913033,-1.18708525628741,2.02515009367003
"48",8,64,3,9,-5.31481685489416,28.2472782010671,1.34210533524727,-2.86586896245965,0.946257376712624,1.60222597066869
"49",9,81,3,9,-5.88449398661032,34.6272694784531,-0.494036888247305,-4.42787336928386,-0.830119061679514,1.696579155469
"50",10,100,3,9,-7.16222563199699,51.2974760036347,0.147929557119448,-3.05343920675467,0.130246975619722,3.21156168114152
"51",11,121,3,9,-7.79460588283837,60.7558808687785,0.472056061919376,-0.706271957300808,-0.299320136722908,3.09699780357905
"52",12,144,3,9,-9.92336262203753,98.4731257284516,-2.4681832451088,-2.82820181468463,-2.87736151583018,2.14237258922123
"53",13,169,3,9,-9.35934720281512,87.5973800628431,0.231534650792212,-2.82362967448792,0.709130363694807,0.806754635266915
"54",14,196,3,9,-10.8243969338946,117.167568982507,-1.73253131993096,-4.19821079062606,-3.2337628988855,0.987002031500601
"55",15,225,3,9,-11.7743341643363,138.634945013458,-1.20848767233359,-3.31349680896656,-1.34875246288948,2.58222381510324
"56",16,256,3,9,-12.0172892077826,144.415239903488,-0.190621023141272,-4.89850695773554,-1.63771851932014,3.22056481163387
"57",17,289,3,9,-13.5944104641676,184.807995868269,-1.40900525671268,-3.5801503877038,-3.08762639891891,4.6758177031677
"58",18,324,3,9,-15.7238052897155,247.238052788886,-3.82305245281762,-7.97240762728451,-4.77096334966612,1.55399637367516
"59",19,361,3,9,-16.1361782825552,260.376249566406,-4.51837129157382,-4.72359088427698,-4.68551852086593,2.44857775858795
"60",20,400,3,9,-17.2700974922627,298.256267392259,-4.10060414957618,-7.54780204960542,-5.08975535789493,2.02390645053394
"61",1,1,4,16,2.17617239104584,4.73572627555016,2.19595983465352,1.81416669752857,0.606609628065879,1.0924864495644
"62",2,4,4,16,2.64446645742282,6.99320284443441,1.5009703170571,-0.216509727359611,1.39726260180505,0.499004690799424
"63",3,9,4,16,1.96660020574927,3.86751636925308,1.07707024817066,1.13255205616999,0.328116846656889,0.419406717320371
"64",4,16,4,16,0.98179423622787,0.963919922290267,1.0861376251063,3.26212756516973,0.133261850879193,2.59342846841858
"65",5,25,4,16,-0.513889555353671,0.264082475101594,-0.0962913259448841,0.807888544319511,1.4261144525928,2.50497230290552
"66",6,36,4,16,-2.2965365210548,5.2740799925385,2.77870407407489,-0.565307604530347,1.97245451369146,1.57567268850845
"67",7,49,4,16,-2.66693257819861,7.11252937665709,0.925754876387966,-0.798072401412663,0.136163617519905,2.25909156171338
"68",8,64,4,16,-4.91384456772357,24.1458684357465,0.643722450418722,-0.375740307970273,-0.307154214266127,1.80092575982505
"69",9,81,4,16,-5.16259103594348,26.652346204404,-0.637245385062842,-0.667543265192806,-0.664757346074433,1.69684984764157
"70",10,100,4,16,-6.183201958891,38.2319864644336,0.468323288200388,-1.44539767395822,0.167428515791264,0.562251466188911
"71",11,121,4,16,-7.26657105563208,52.80305490655,0.117805953124665,-1.33421704810035,-0.225556133345293,1.83170213223099
"72",12,144,4,16,-8.40870389994234,70.7063012769055,-0.247099067095081,-2.23789065754879,-1.05732638377019,3.5031750835772
"73",13,169,4,16,-9.76335659017786,95.3231319069695,-1.51167603632458,-2.95193923440668,-1.36827758106849,1.99244685172287
"74",14,196,4,16,-10.1908745761029,103.853924625861,-1.80841709168908,-3.18316927459879,-0.872714748950644,3.09682048732471
"75",15,225,4,16,-10.5828413944691,111.99653198049,-3.40359823192826,-3.80762927797821,-1.13079057990291,0.715516382522165
"76",16,256,4,16,-11.0301273306832,121.663708931084,0.493161860106196,-4.92133612069384,-0.784200167582991,2.8528311037801
"77",17,289,4,16,-13.9717128891498,195.208761056834,-3.89627758271799,-5.63524246572809,-2.48400555659368,3.11223616405701
"78",18,324,4,16,-13.8524724454619,191.890992852281,-3.55461416412529,-4.83036266441238,-2.69394640029693,2.28966124961631
"79",19,361,4,16,-14.0815364760347,198.289669525895,-1.90959981922714,-4.71585296670672,-3.13847250766235,2.26212274184902
"80",20,400,4,16,-16.316639249213,266.232716388959,-3.83060973239508,-5.32741386908978,-4.13543245965901,3.20895960464635
"81",1,1,5,25,3.70493594324216,13.7265503435277,1.93675919101405,1.67793501078891,0.912489149136265,2.42651929777359
"82",2,4,5,25,2.80463706841692,7.86598908553827,1.86419519764213,2.52377922998498,1.69066456727345,0.465260916997895
"83",3,9,5,25,2.00000829622149,4.00003318495481,2.00083112655561,1.83959995156652,2.60362135688972,0.707740069194851
"84",4,16,5,25,0.280801489017904,0.078849476234672,2.40352945150053,1.98906019992256,1.55286864706134,2.5675876209057
"85",5,25,5,25,0.046233328524977,0.00213752066649845,1.73550201630685,0.280498629562744,2.7167966574518,-0.101303416560058
"86",6,36,5,25,-1.34052529325709,1.797008061862,1.59907873439678,-1.64354885628422,1.88608929276165,1.19543506600207
"87",7,49,5,25,-2.92254091752693,8.54124541461915,0.315477422082965,-0.956573395310591,1.62078498192369,0.443570231326359
"88",8,64,5,25,-2.9498391225934,8.70155084918262,0.707979885759684,2.10760899889595,0.0292553262293663,4.08869386521275
"89",9,81,5,25,-3.24739850917831,10.5455970774135,0.0221628922407313,-1.29013809855864,0.569215366408949,3.92026993442264
"90",10,100,5,25,-4.3620775048621,19.027720158424,1.68195640710071,-1.50274430189667,-1.47440527083791,3.39906928565275
"91",11,121,5,25,-6.43912686686963,41.4623548076423,-0.0585624599459965,-0.54751045222428,-0.454229353664123,1.69027493292154
"92",12,144,5,25,-6.9029244906269,47.6503665232967,1.12365519524855,-1.2358845586578,-1.41276919308194,2.94463210472804
"93",13,169,5,25,-7.43217607215047,55.237241167446,-1.25230158973915,-0.946270403891643,-0.0211935525737396,2.04659373298718
"94",14,196,5,25,-9.00060267234221,81.0108484653738,-0.484707541232778,-2.39830467150014,-1.59889187944804,3.40318784360711
"95",15,225,5,25,-10.2519799727015,105.103093360673,-1.94137022838039,-3.31493626723713,-2.772814972801,6.51717429014545
"96",16,256,5,25,-10.2310101985931,104.673569683717,0.584309512581775,-1.46210337718624,-3.07978725600544,3.7393819317725
"97",17,289,5,25,-11.3931108647957,129.802975177527,-2.07879789151373,-4.15780110839608,-2.30547914034696,1.30068616671085
"98",18,324,5,25,-13.2026424878277,174.309768661393,-1.4943447414495,-2.60884001576044,-2.00122228614133,3.31077752854156
"99",19,361,5,25,-13.6507799341343,186.343792810165,-2.16889655958438,-4.62324231142606,-2.58930989779237,1.7014633853491
"100",20,400,5,25,-14.5045782546513,210.382790345303,-2.84231201535609,-4.14540583913062,-2.68038540759891,4.46678905245833
"101",1,1,6,36,5.24047418264672,27.4625696589868,2.74014501196053,2.0238028367367,1.81275183967706,1.57678572512339
"102",2,4,6,36,3.26004738360643,10.6279089433592,3.05738441592847,2.39926893802134,2.26101840747031,2.66995659719445
"103",3,9,6,36,3.04477056674659,9.27062780412637,2.63924111289816,1.05050695426231,2.28926756163565,1.73543414859094
"104",4,16,6,36,2.45948748011142,6.04907866482482,2.35613835547014,2.25946269482933,2.27608471216731,2.78046292297631
"105",5,25,6,36,0.692285785451531,0.479259608738244,1.19856277792994,1.3645642049012,1.77848166322893,2.21355175209225
"106",6,36,6,36,0.857626407407224,0.735523054682222,3.0121025296196,1.65928008605432,2.06812390138362,1.69154891466893
"107",7,49,6,36,-1.12702344264835,1.27018184027894,0.680907256460801,0.707574123314879,0.189848400971409,1.54518028047837
"108",8,64,6,36,-1.01246313378215,1.02508159726797,2.6301447329906,-0.839229576321166,1.89592919227208,4.05624549424735
"109",9,81,6,36,-2.23315658001229,4.98698831085219,1.53145253438802,0.595451165576829,0.505956318389505,2.79623008958477
"110",10,100,6,36,-3.10040944023058,9.61253869707089,0.690447800255034,-0.806487031453807,1.4784297333991,1.52691003908266
"111",11,121,6,36,-4.10842424351722,16.87914976472,0.859916644953055,-1.20158119312475,0.583358843515789,2.45831292809841
"112",12,144,6,36,-5.7503579207696,33.0666162169577,0.0864544711851798,-0.0771079746912469,0.521569207952889,3.0588356956174
"113",13,169,6,36,-6.9800311694853,48.7208351269863,2.09049807720123,-2.65927435024262,-1.89317181425201,4.06775631011321
"114",14,196,6,36,-8.78199007315561,77.1233496450037,0.685381224546621,-1.96010184183691,1.32666935560973,2.6191086345054
"115",15,225,6,36,-9.57777354167774,91.7337460156622,-1.38928322674626,-3.29277442911454,-1.62550668258165,4.42375790505074
"116",16,256,6,36,-10.0944051975384,101.897016292091,0.369794676222526,-2.05055514608125,-2.66820931261297,3.45297159183145
"117",17,289,6,36,-10.5009689135477,110.270348123295,-0.83727247114112,-3.23958591178001,-1.62714254188217,2.88093737758854
"118",18,324,6,36,-11.1981037119403,125.397526743372,-2.60670427098576,-3.28339536496063,-1.74525910196728,3.94999074966902
"119",19,361,6,36,-13.2876257654279,176.560998482065,-1.83954711382717,-3.61157581435963,-2.39880824869041,3.00913013203371
"120",20,400,6,36,-13.4315907796845,180.407630872905,-2.37316554651369,-3.660234303053,-2.71472428216583,4.65387220709833
"121",1,1,7,49,6.00403443956748,36.0484295515123,2.75094220675675,3.29872755449224,1.90464929137966,0.769000857638956
"122",2,4,7,49,5.47855525230989,30.0145676526123,4.64709838691998,1.3928556955389,1.59148455276441,0.872681447660237
"123",3,9,7,49,4.26985342334956,18.23164825689,2.1502180534575,4.03350132636099,2.5024873694994,2.07864596417284
"124",4,16,7,49,2.04576431307942,4.1851516246693,4.6806812666712,3.40826572433232,2.65397680549053,1.19892813439902
"125",5,25,7,49,1.79114335589111,3.20819452135286,2.38269460897022,1.21036694856633,0.279091196680563,2.24895007060371
"126",6,36,7,49,0.819432265125215,0.671469237128241,3.15921641869276,0.0157251454177556,1.73709619072906,4.26095523623624
"127",7,49,7,49,0.486408531665802,0.236593259677282,2.87851938422313,3.9907078574379,0.797798112055681,4.94092398086748
"128",8,64,7,49,-0.370925130322576,0.13758545230482,3.2683904551313,1.36089722403054,2.57267142661617,4.63597123301324
"129",9,81,7,49,-2.69221065239981,7.247998196895,0.475616483203501,0.990940170037527,0.830962744593008,4.13570374503554
"130",10,100,7,49,-2.99634916521609,8.97810831989115,1.56512049867882,1.12290334792669,0.758624014131458,3.66456491314652
"131",11,121,7,49,-4.20652502169833,17.6948527581741,2.38034164852812,-3.21800520211474,0.309742015458928,1.00847892054272
"132",12,144,7,49,-5.63409073604271,31.7429784219623,1.94879025613145,-1.98891184636553,0.334310421290274,5.21077060963826
"133",13,169,7,49,-6.32510120188817,40.0069052141272,0.730486917345087,-0.871504376011026,-0.470855870909054,3.657557623178
"134",14,196,7,49,-6.15760629205033,37.9161152478978,-0.128797250748784,-2.15717166535356,1.81798667974093,4.78150335813521
"135",15,225,7,49,-8.13837233418599,66.2331042498439,1.24220953525643,-1.73138238869413,-1.95924004976003,4.09361149401129
"136",16,256,7,49,-9.62461061961949,92.6331295792922,-0.813918251563784,-2.7608205834145,-2.29991048009251,3.47210200620686
"137",17,289,7,49,-9.31548354262486,86.7782336329146,-0.153361143864007,-1.87250870787777,-0.814490863276957,3.17713566642944
"138",18,324,7,49,-10.4482835815288,109.166629800045,-0.991658446912649,-3.09352449887969,-1.59015315296622,3.30016541953455
"139",19,361,7,49,-12.9758205772378,168.371919652667,0.752410865056568,-1.63160552655239,-0.549960884412746,3.73348089893562
"140",20,400,7,49,-12.7155128885061,161.684268017764,-0.474122531371377,-1.54319625447378,-0.652285962323601,3.13359271257734
"141",1,1,8,64,7.95367507496849,63.260947198175,4.72380087519124,6.06453926263984,2.3487539050421,0.472837648423455
"142",2,4,8,64,6.94131327141076,48.1818299318632,5.13468669892581,4.72373148663628,2.9440328233958,1.5523049931089
"143",3,9,8,64,5.63870653044432,31.7950113364755,3.28219556402588,3.26162993314711,3.15840180841735,1.8812212583542
"144",4,16,8,64,3.1052494905889,9.64257439880264,3.46488285084985,2.91312165791229,2.0371767159437,4.9021338037023
"145",5,25,8,64,3.73080050293356,13.9188723926893,4.766225442237,3.5176760814594,2.55052725889701,2.9786001814598
"146",6,36,8,64,2.53243740834296,6.4132392271748,3.93376239030636,3.11047097595298,0.88771211597495,4.30723498352501
"147",7,49,8,64,0.939225005917251,0.88214361174026,4.35636312217639,2.07857916302827,1.41396625083323,3.62407989648558
"148",8,64,8,64,-0.461593727581203,0.21306876934231,1.97746192149861,0.652456675501339,1.75230249101693,2.24910785426067
"149",9,81,8,64,-1.77318885782734,3.14419872552301,2.98080462140763,1.8190373129119,0.391127434678847,3.98706089746764
"150",10,100,8,64,-2.02054897742346,4.08261817016699,2.83760937672429,0.13019896733257,0.440369164775842,4.60124987294692
"151",11,121,8,64,-3.52182374568656,12.4032424956817,2.71024317095892,0.678884956847935,2.02379431983067,3.15611172511255
"152",12,144,8,64,-3.18867716798559,10.1676620816326,4.30393264081637,-1.57515105610745,2.10126959869324,2.60148048511423
"153",13,169,8,64,-4.24693578388542,18.0364635524465,2.80870740647203,0.349108157485692,1.86503934000392,2.14507625293587
"154",14,196,8,64,-6.77218640781939,45.8625087422537,1.88091314816692,-1.03875620520317,0.334819564876403,2.22736597720103
"155",15,225,8,64,-6.27730776695535,39.4045928010779,0.487641319547351,-0.24573188638763,2.11487220342997,2.93466310455111
"156",16,256,8,64,-7.44447265425697,55.4201730999798,1.07600150173059,-1.12374289863933,-0.490547332506021,3.24509141909967
"157",17,289,8,64,-8.33679763646796,69.5021948314178,0.729715486554133,-1.85923967206813,0.444697796127303,3.78913860649477
"158",18,324,8,64,-10.8115616324358,116.889864931957,0.104614230663055,-0.47708852907575,-1.1183016362891,4.07342483983749
"159",19,361,8,64,-11.6939446828328,136.748342245154,-0.582061643855651,-1.98497293075648,-3.02530225207029,2.65916381479466
"160",20,400,8,64,-12.2846660111099,150.91301900452,-1.30629306651391,-4.18937400804276,-1.85007970440713,3.66458721747396
"161",1,1,9,81,7.2199737415649,52.1280208288867,4.55899939962045,3.58933346178775,4.31854042198535,-0.663594116981068
"162",2,4,9,81,7.56021944759414,57.1569180957806,4.56752957068269,4.28607592771202,2.9182527220381,2.01204314193429
"163",3,9,9,81,6.19725212734193,38.405933929844,6.55734224920912,4.12782417680308,3.14660347449135,3.28639817849969
"164",4,16,9,81,5.48677433142439,30.1046925639775,4.15023808120992,5.45533723761244,2.40705778459407,2.34408028323364
"165",5,25,9,81,4.93630773108453,24.3671340159649,2.71716231534953,5.64438273592192,3.5335057656304,3.66948542691784
"166",6,36,9,81,2.07883353484794,4.3215488656084,3.50349354383098,1.72051654088149,3.41609428793097,3.45454356232448
"167",7,49,9,81,1.17345445463434,1.37699535710117,5.53836756207873,3.66345433936674,1.87659494042881,4.00383904728568
"168",8,64,9,81,1.92839394137263,3.71870319312268,2.68855984553888,2.62528704101909,2.8789438115599,3.75668215970071
"169",9,81,9,81,-0.987413414288312,0.974985250716502,4.5073388979247,1.74332653001681,1.37689777005694,2.77586824616177
"170",10,100,9,81,-0.0887617347761989,0.00787864556048027,5.16904135257369,1.83042582319498,1.63242110890193,3.65071006647648
"171",11,121,9,81,-2.57327103894204,6.62172383985784,3.0479932043848,0.905440399366238,1.99868758019001,3.20812634232465
"172",12,144,9,81,-2.96658815303817,8.80064526974644,3.99058530059783,1.25757522875931,-0.300988945926705,4.69415486506144
"173",13,169,9,81,-3.70419995998964,13.7210973435872,4.25174006854449,0.145010246983149,1.4696561765799,2.73747924711535
"174",14,196,9,81,-4.69742838665843,22.0658334477844,2.32834221799871,1.35855761990915,2.18927267298911,4.40443765454748
"175",15,225,9,81,-5.19818756356835,27.0211539460367,1.67846123721033,-0.528354325303931,1.4813532631815,3.73283597202831
"176",16,256,9,81,-6.2225826503709,38.7205348406969,2.26372181567953,-1.6598921320329,-0.847394477205945,3.67231337575332
"177",17,289,9,81,-8.03458369476721,64.5545351482191,1.77192195045843,-1.06523954991935,-0.852069397668807,4.5645828146444
"178",18,324,9,81,-8.15577172487974,66.5166124283479,1.1018579580924,-0.457857454806686,0.368524994830198,2.17749960227819
"179",19,361,9,81,-9.03318044543266,81.598348959747,2.4980548970746,-0.0882916238640175,-1.11269752822121,4.40024847000762
"180",20,400,9,81,-10.9161894964054,119.163193121432,-0.743826815809539,-2.12957131254853,-2.6271824659309,3.41251561016284
"181",1,1,10,100,9.21455617481843,84.9080454988844,5.69351463705661,6.34757101476019,3.30255547412205,4.43283265368068
"182",2,4,10,100,8.67181600118056,75.2003927583312,6.66152769431242,4.76781196346614,3.90659611915234,3.85953115535044
"183",3,9,10,100,6.97446499625221,48.6431619839473,4.59376805341719,5.28844878973309,5.86458670457534,2.37177968262572
"184",4,16,10,100,6.11985733360052,37.4526537836241,3.65584738461166,4.03207932970454,3.32498427487306,3.31036916213302
"185",5,25,10,100,4.96808909578249,24.6819092636329,6.57262228500777,4.48323912573059,2.71080457740217,5.40305361980626
"186",6,36,10,100,3.82874353742227,14.6592770753528,4.75760161301337,2.94120307176058,1.79156753321028,4.0900996186329
"187",7,49,10,100,3.63028982188553,13.1790041908856,4.9691276061729,4.18511284927034,2.62321559009724,3.3915326636091
"188",8,64,10,100,1.46636046050116,2.15021300012119,4.37954654024586,4.79128519950673,0.87606251895286,5.23618880839772
"189",9,81,10,100,1.38865824975073,1.92837173460077,4.37007205666798,2.4667973208937,3.30186825977982,4.57652318284658
"190",10,100,10,100,-0.806499555706978,0.650441533355553,3.9761104100083,2.39789802164785,1.94374276484024,3.08838015926717
"191",11,121,10,100,-1.31909939507023,1.74002321407463,4.40531689612459,1.41231430592867,1.97765907285972,2.72281100357389
"192",12,144,10,100,-2.85720846941695,8.16364023770793,4.50424195709933,2.79331668879238,-0.419094814912442,6.25139772242025
"193",13,169,10,100,-2.01227181451395,4.04923785548727,5.16121552928691,1.34563620232332,1.44542320508285,4.43498844822518
"194",14,196,10,100,-3.07935207756236,9.48240921758764,1.95542914162134,1.84647399573901,1.44347768393853,4.29260948394358
"195",15,225,10,100,-4.24942162353545,18.0575841345707,1.62900617328268,1.36647149746904,0.00862344544123583,3.53866523690121
"196",16,256,10,100,-5.29963051341474,28.0860835787166,3.68495947140703,1.45706212789251,-1.15151912451865,4.69123991545481
"197",17,289,10,100,-7.69019386265427,59.1390816452054,2.90882971019868,0.956127684164793,-1.08009175890651,3.71291665269421
"198",18,324,10,100,-7.6373943882063,58.3297930410051,2.10632749575402,0.859356774965418,-0.856577647366126,4.07312723266189
"199",19,361,10,100,-9.42436377052218,88.818632479131,2.39577088668603,-1.91280853485417,-1.86556082867887,5.49564261370251
"200",20,400,10,100,-9.09841755917296,82.7812020810668,2.22008377988112,0.0901820979334337,-0.71894654840805,5.33219610476253
"201",1,1,11,121,9.53353121271357,90.8882173837839,7.36695961192637,6.87124828534831,2.81919636861669,2.35123813832338
"202",2,4,11,121,9.8727859002538,97.4719014322503,6.72972236172669,6.15211629866138,4.1707740559254,2.07459063561816
"203",3,9,11,121,7.3952709119767,54.6900318615286,7.86125483744305,5.88156795319303,1.85493694780657,5.44685782349989
"204",4,16,11,121,7.43470215983689,55.2747962054833,7.91154818524731,3.49909460873123,2.63572087814064,3.48057926108065
"205",5,25,11,121,6.81445898860693,46.4368513074058,6.13018280157736,3.78212137832104,6.3258280854671,3.42447888173287
"206",6,36,11,121,5.06665547797456,25.6709977324897,6.87670073908124,5.04328645949932,2.20841985238607,2.38879393603283
"207",7,49,11,121,4.93941751355305,24.3978453731946,6.82688120097586,6.70040534233978,2.95679047217582,5.39773218382116
"208",8,64,11,121,2.94477926008403,8.67172489062106,4.85488097631695,4.03102259465002,3.27293069387873,4.66183025569989
"209",9,81,11,121,2.64339790446684,6.98755248133967,5.11145453861135,3.73086823877531,4.87810956216299,4.94400386975698
"210",10,100,11,121,0.644296003971249,0.41511734073332,4.86183597068308,3.57169624863767,3.27947090298735,6.06756000277922
"211",11,121,11,121,-0.358168431092054,0.128284625030943,3.98320672378601,2.30129965757759,1.18742582146137,5.74548008699905
"212",12,144,11,121,-1.99655101355165,3.98621594971413,6.08103516001939,3.06517869556874,2.06449442747164,5.10464370401601
"213",13,169,11,121,-1.86034880764782,3.46089768611668,4.65356811556468,2.46711106577802,1.38138631226392,4.40286138688501
"214",14,196,11,121,-2.28915211139247,5.24021738909259,5.1417834115741,2.25972589014098,2.22723002708341,4.89203182047583
"215",15,225,11,121,-4.30201690876856,18.5073494833306,4.52771263700637,2.33340056444821,0.117384441955975,5.26965811034343
"216",16,256,11,121,-5.82640128815547,33.9469519706197,3.50125265093179,0.764514566945706,-0.191852324624952,3.39559010104284
"217",17,289,11,121,-6.14728229027241,37.7890795562969,4.39436038893004,-0.180603919431461,-0.539576957514451,5.78766436818708
"218",18,324,11,121,-6.07741197757423,36.9349363451627,1.68178967263261,0.212230610510557,1.40048819824611,5.51987530434747
"219",19,361,11,121,-8.5311674294062,72.7808177085611,2.65243296753743,1.04388196897939,0.338016712708165,5.75578725933334
"220",20,400,11,121,-9.07767578819767,82.4041977156301,0.975935607193824,-0.455995683459299,-0.960226659920092,3.93768917550686
"221",1,1,12,144,11.0446553025395,121.984410751913,8.01705433655113,4.84666427525965,4.44441631126447,2.74799323423842
"222",2,4,12,144,9.4299144889228,88.9232872683962,7.84402578854753,6.33877255675057,4.31504256148886,4.13915535802266
"223",3,9,12,144,8.28478983510286,68.6377426118236,6.51178817394817,6.86290275280403,3.66347836777154,5.41517281057331
"224",4,16,12,144,8.18607205990702,67.0117757699904,7.84878635605107,6.12785342441318,2.09584870631807,3.88837187394331
"225",5,25,12,144,7.0310648707673,49.4358732169379,6.68768579706954,4.77417118312476,3.86289591411578,5.73845589349631
"226",6,36,12,144,6.1337126637809,37.6224310418262,8.3244435991745,6.4809026346335,2.00401978707675,5.1172818904672
"227",7,49,12,144,4.59895373275504,21.1503754360215,8.06649627586743,4.65030193053694,3.56375342174494,1.83632982891157
"228",8,64,12,144,3.3021220699884,10.9040101651045,5.69682259949235,2.77149517036213,4.47356142196434,6.0356477382148
"229",9,81,12,144,2.15792403370142,4.65663613522621,6.54262414253882,4.53185550978527,2.46807886353063,5.69944748589147
